team,xG,build_up_disruption,ppda,tilt
Porto,2.0651724137931033,3.1038029192086753,7.88551724137931,62.9736
Sporting CP,1.9046666666666667,2.2254576637008405,9.2385,63.7308
Benfica,2.265,1.718141938414239,8.6121875,70.8705
Portimonense,1.2002564102564102,1.3528065119359558,8.69897435897436,50
Gil Vicente,1.4633333333333334,1.2975721914336715,10.31404761904762,52.087
Sporting Braga,1.7492592592592593,1.1892537592386514,9.470185185185183,60.137
Santos Laguna,1.701025641025641,0.698585858585858,11.191794871794873,51.7241
Arouca,1.0914285714285714,0.6554064067970689,10.941190476190476,46.0279
Marítimo,1.2847058823529411,0.5632602999246932,9.78529411764706,48.1591
Vitória Guimarães,1.098181818181818,0.4699961930387084,10.470681818181818,47.1536
Toluca,1.5988636363636364,0.2674038461538437,9.427272727272728,54.9754
Rio Ave,1.0016216216216216,-0.15998612108331242,10.90081081081081,46.875
Santa Clara,1.0876470588235294,-0.25127257204762354,12.310588235294118,38.5519
Chaves,1.385945945945946,-0.425852606991126,11.344324324324324,48.2759
Boavista,1.2023076923076923,-0.5614884312161292,10.767179487179488,51.5625
Vizela,1.3205405405405406,-0.9096063607448804,10.835405405405403,45.4545
Estoril,1.09975,-1.1704215167352612,10.80875,45.5343
Famalicão,1.2974418604651163,-1.8806273239105855,10.037209302325582,47.9167
Paços de Ferreira,1.0729411764705885,-1.8985736101099089,11.766470588235292,44.4526
Casa Pia AC,1.1697619047619048,-2.597225838742147,12.30547619047619,47.0165
Tigres UANL,1.6251111111111112,-2.8334226884226865,9.732888888888889,54.8387
