Player,variable,deciles,type_variable
A. Zamudio,Lateral passes per 90,79,Positioning
A. Zamudio,Long passes per 90,42,Buildup
A. Zamudio,Shots per 90,62,Positioning
A. Zamudio,Touches in box per 90,32,Chance creation
A. Zamudio,Progressive runs per 90,90,Buildup
A. Zamudio,Dribbles per 90,81,Chance creation
A. Zamudio,Back passes per 90,88,Positioning
A. Zamudio,Interceptions per 90,45,Defense
A. Zamudio,Shots blocked per 90,50,Defense
A. Zamudio,Fouls per 90,71,Defense
A. Marín,Passes to final third per 90,18,Buildup
A. Marín,Progressive passes per 90,13,Buildup
A. Marín,Lateral passes per 90,38,Positioning
A. Marín,Long passes per 90,74,Buildup
A. Marín,Shots per 90,97,Positioning
A. Marín,Touches in box per 90,36,Chance creation
A. Marín,Progressive runs per 90,58,Buildup
A. Marín,Dribbles per 90,67,Chance creation
A. Marín,Back passes per 90,1,Positioning
A. Marín,Interceptions per 90,13,Defense
A. Marín,Shots blocked per 90,50,Defense
A. Marín,Fouls per 90,7,Defense
C. Zamudio,Passes to final third per 90,69,Buildup
C. Zamudio,Progressive passes per 90,46,Buildup
C. Zamudio,Lateral passes per 90,57,Positioning
C. Zamudio,Long passes per 90,83,Buildup
C. Zamudio,Shots per 90,62,Positioning
C. Zamudio,Touches in box per 90,56,Chance creation
C. Zamudio,Progressive runs per 90,1,Buildup
C. Zamudio,Dribbles per 90,32,Chance creation
C. Zamudio,Back passes per 90,19,Positioning
C. Zamudio,Interceptions per 90,2,Defense
C. Zamudio,Shots blocked per 90,45,Defense
C. Zamudio,Fouls per 90,47,Defense
J. Chapa,Passes to final third per 90,3,Buildup
J. Chapa,Progressive passes per 90,65,Buildup
J. Chapa,Lateral passes per 90,3,Positioning
J. Chapa,Long passes per 90,28,Buildup
J. Chapa,Shots per 90,4,Positioning
J. Chapa,Touches in box per 90,2,Chance creation
J. Chapa,Progressive runs per 90,20,Buildup
J. Chapa,Dribbles per 90,52,Chance creation
J. Chapa,Back passes per 90,6,Positioning
J. Chapa,Interceptions per 90,51,Defense
J. Chapa,Shots blocked per 90,50,Defense
J. Chapa,Fouls per 90,84,Defense
C. Ochoa,Passes to final third per 90,95,Buildup
C. Ochoa,Progressive passes per 90,97,Buildup
C. Ochoa,Lateral passes per 90,88,Positioning
C. Ochoa,Long passes per 90,88,Buildup
C. Ochoa,Shots per 90,86,Positioning
C. Ochoa,Touches in box per 90,20,Chance creation
C. Ochoa,Progressive runs per 90,88,Buildup
C. Ochoa,Dribbles per 90,88,Chance creation
C. Ochoa,Back passes per 90,49,Positioning
C. Ochoa,Interceptions per 90,15,Defense
C. Ochoa,Shots blocked per 90,4,Defense
C. Ochoa,Fouls per 90,100,Defense
D. Lajud,Passes to final third per 90,32,Buildup
D. Lajud,Progressive passes per 90,43,Buildup
D. Lajud,Lateral passes per 90,20,Positioning
D. Lajud,Long passes per 90,12,Buildup
D. Lajud,Shots per 90,84,Positioning
D. Lajud,Touches in box per 90,53,Chance creation
D. Lajud,Progressive runs per 90,76,Buildup
D. Lajud,Dribbles per 90,56,Chance creation
D. Lajud,Back passes per 90,12,Positioning
D. Lajud,Interceptions per 90,28,Defense
D. Lajud,Shots blocked per 90,4,Defense
D. Lajud,Fouls per 90,6,Defense
M. Rodríguez,Passes to final third per 90,8,Buildup
M. Rodríguez,Progressive passes per 90,52,Buildup
M. Rodríguez,Lateral passes per 90,38,Positioning
M. Rodríguez,Long passes per 90,9,Buildup
M. Rodríguez,Shots per 90,36,Positioning
M. Rodríguez,Touches in box per 90,34,Chance creation
M. Rodríguez,Progressive runs per 90,91,Buildup
M. Rodríguez,Dribbles per 90,95,Chance creation
M. Rodríguez,Back passes per 90,51,Positioning
M. Rodríguez,Interceptions per 90,32,Defense
M. Rodríguez,Shots blocked per 90,4,Defense
M. Rodríguez,Fouls per 90,23,Defense
J. Rodríguez,Passes to final third per 90,88,Buildup
J. Rodríguez,Progressive passes per 90,81,Buildup
J. Rodríguez,Lateral passes per 90,70,Positioning
J. Rodríguez,Long passes per 90,66,Buildup
J. Rodríguez,Shots per 90,37,Positioning
J. Rodríguez,Touches in box per 90,6,Chance creation
J. Rodríguez,Progressive runs per 90,8,Buildup
J. Rodríguez,Dribbles per 90,42,Chance creation
J. Rodríguez,Back passes per 90,42,Positioning
J. Rodríguez,Interceptions per 90,7,Defense
J. Rodríguez,Shots blocked per 90,76,Defense
J. Rodríguez,Fouls per 90,16,Defense
B. Figueroa,Passes to final third per 90,75,Buildup
B. Figueroa,Progressive passes per 90,77,Buildup
B. Figueroa,Lateral passes per 90,87,Positioning
B. Figueroa,Long passes per 90,65,Buildup
B. Figueroa,Shots per 90,50,Positioning
B. Figueroa,Touches in box per 90,65,Chance creation
B. Figueroa,Progressive runs per 90,50,Buildup
B. Figueroa,Dribbles per 90,60,Chance creation
B. Figueroa,Back passes per 90,56,Positioning
B. Figueroa,Interceptions per 90,57,Defense
B. Figueroa,Shots blocked per 90,90,Defense
B. Figueroa,Fouls per 90,46,Defense
J. Angulo,Passes to final third per 90,35,Buildup
J. Angulo,Progressive passes per 90,39,Buildup
J. Angulo,Lateral passes per 90,25,Positioning
J. Angulo,Long passes per 90,25,Buildup
J. Angulo,Shots per 90,54,Positioning
J. Angulo,Touches in box per 90,61,Chance creation
J. Angulo,Progressive runs per 90,19,Buildup
J. Angulo,Dribbles per 90,49,Chance creation
J. Angulo,Back passes per 90,41,Positioning
J. Angulo,Interceptions per 90,90,Defense
J. Angulo,Shots blocked per 90,51,Defense
J. Angulo,Fouls per 90,94,Defense
E. Alaffita,Passes to final third per 90,82,Buildup
E. Alaffita,Progressive passes per 90,98,Buildup
E. Alaffita,Lateral passes per 90,80,Positioning
E. Alaffita,Long passes per 90,91,Buildup
E. Alaffita,Shots per 90,35,Positioning
E. Alaffita,Touches in box per 90,6,Chance creation
E. Alaffita,Progressive runs per 90,29,Buildup
E. Alaffita,Dribbles per 90,7,Chance creation
E. Alaffita,Back passes per 90,35,Positioning
E. Alaffita,Interceptions per 90,48,Defense
E. Alaffita,Shots blocked per 90,33,Defense
E. Alaffita,Fouls per 90,1,Defense
C. Bermúdez,Passes to final third per 90,94,Buildup
C. Bermúdez,Progressive passes per 90,97,Buildup
C. Bermúdez,Lateral passes per 90,78,Positioning
C. Bermúdez,Long passes per 90,65,Buildup
C. Bermúdez,Shots per 90,34,Positioning
C. Bermúdez,Touches in box per 90,30,Chance creation
C. Bermúdez,Progressive runs per 90,21,Buildup
C. Bermúdez,Dribbles per 90,7,Chance creation
C. Bermúdez,Back passes per 90,56,Positioning
C. Bermúdez,Interceptions per 90,12,Defense
C. Bermúdez,Shots blocked per 90,45,Defense
C. Bermúdez,Fouls per 90,3,Defense
J. Vega,Passes to final third per 90,22,Buildup
J. Vega,Progressive passes per 90,31,Buildup
J. Vega,Lateral passes per 90,29,Positioning
J. Vega,Long passes per 90,30,Buildup
J. Vega,Shots per 90,72,Positioning
J. Vega,Touches in box per 90,55,Chance creation
J. Vega,Progressive runs per 90,45,Buildup
J. Vega,Dribbles per 90,56,Chance creation
J. Vega,Back passes per 90,24,Positioning
J. Vega,Interceptions per 90,36,Defense
J. Vega,Shots blocked per 90,33,Defense
J. Vega,Fouls per 90,31,Defense
A. Organista,Passes to final third per 90,64,Buildup
A. Organista,Progressive passes per 90,60,Buildup
A. Organista,Lateral passes per 90,74,Positioning
A. Organista,Long passes per 90,40,Buildup
A. Organista,Shots per 90,17,Positioning
A. Organista,Touches in box per 90,9,Chance creation
A. Organista,Progressive runs per 90,79,Buildup
A. Organista,Dribbles per 90,76,Chance creation
A. Organista,Back passes per 90,68,Positioning
A. Organista,Interceptions per 90,32,Defense
A. Organista,Shots blocked per 90,4,Defense
A. Organista,Fouls per 90,74,Defense
J. Madueña,Passes to final third per 90,29,Buildup
J. Madueña,Progressive passes per 90,66,Buildup
J. Madueña,Lateral passes per 90,55,Positioning
J. Madueña,Long passes per 90,54,Buildup
J. Madueña,Shots per 90,28,Positioning
J. Madueña,Touches in box per 90,24,Chance creation
J. Madueña,Progressive runs per 90,6,Buildup
J. Madueña,Dribbles per 90,25,Chance creation
J. Madueña,Back passes per 90,39,Positioning
J. Madueña,Interceptions per 90,85,Defense
J. Madueña,Shots blocked per 90,45,Defense
J. Madueña,Fouls per 90,83,Defense
F. Félix,Passes to final third per 90,23,Buildup
F. Félix,Progressive passes per 90,68,Buildup
F. Félix,Lateral passes per 90,36,Positioning
F. Félix,Long passes per 90,59,Buildup
F. Félix,Shots per 90,3,Positioning
F. Félix,Touches in box per 90,6,Chance creation
F. Félix,Progressive runs per 90,35,Buildup
F. Félix,Dribbles per 90,35,Chance creation
F. Félix,Back passes per 90,31,Positioning
F. Félix,Interceptions per 90,74,Defense
F. Félix,Shots blocked per 90,4,Defense
F. Félix,Fouls per 90,21,Defense
M. Pérez,Passes to final third per 90,70,Buildup
M. Pérez,Progressive passes per 90,80,Buildup
M. Pérez,Lateral passes per 90,49,Positioning
M. Pérez,Long passes per 90,85,Buildup
M. Pérez,Shots per 90,76,Positioning
M. Pérez,Touches in box per 90,39,Chance creation
M. Pérez,Progressive runs per 90,15,Buildup
M. Pérez,Dribbles per 90,23,Chance creation
M. Pérez,Back passes per 90,12,Positioning
M. Pérez,Interceptions per 90,65,Defense
M. Pérez,Shots blocked per 90,46,Defense
M. Pérez,Fouls per 90,42,Defense
J. Mora,Passes to final third per 90,92,Buildup
J. Mora,Progressive passes per 90,83,Buildup
J. Mora,Lateral passes per 90,71,Positioning
J. Mora,Long passes per 90,97,Buildup
J. Mora,Shots per 90,100,Positioning
J. Mora,Touches in box per 90,24,Chance creation
J. Mora,Progressive runs per 90,1,Buildup
J. Mora,Dribbles per 90,18,Chance creation
J. Mora,Back passes per 90,17,Positioning
J. Mora,Interceptions per 90,5,Defense
J. Mora,Shots blocked per 90,4,Defense
J. Mora,Fouls per 90,71,Defense
J. Gómez,Passes to final third per 90,33,Buildup
J. Gómez,Progressive passes per 90,31,Buildup
J. Gómez,Lateral passes per 90,12,Positioning
J. Gómez,Long passes per 90,47,Buildup
J. Gómez,Shots per 90,24,Positioning
J. Gómez,Touches in box per 90,18,Chance creation
J. Gómez,Progressive runs per 90,18,Buildup
J. Gómez,Dribbles per 90,46,Chance creation
J. Gómez,Back passes per 90,6,Positioning
J. Gómez,Interceptions per 90,84,Defense
J. Gómez,Shots blocked per 90,5,Defense
J. Gómez,Fouls per 90,98,Defense
D. Cisneros,Passes to final third per 90,93,Buildup
D. Cisneros,Progressive passes per 90,97,Buildup
D. Cisneros,Lateral passes per 90,73,Positioning
D. Cisneros,Long passes per 90,87,Buildup
D. Cisneros,Shots per 90,18,Positioning
D. Cisneros,Touches in box per 90,30,Chance creation
D. Cisneros,Progressive runs per 90,31,Buildup
D. Cisneros,Dribbles per 90,52,Chance creation
D. Cisneros,Back passes per 90,26,Positioning
D. Cisneros,Interceptions per 90,68,Defense
D. Cisneros,Shots blocked per 90,74,Defense
D. Cisneros,Fouls per 90,92,Defense
J. Ibarra,Passes to final third per 90,100,Buildup
J. Ibarra,Progressive passes per 90,100,Buildup
J. Ibarra,Lateral passes per 90,86,Positioning
J. Ibarra,Long passes per 90,98,Buildup
J. Ibarra,Shots per 90,18,Positioning
J. Ibarra,Touches in box per 90,1,Chance creation
J. Ibarra,Progressive runs per 90,51,Buildup
J. Ibarra,Dribbles per 90,22,Chance creation
J. Ibarra,Back passes per 90,18,Positioning
J. Ibarra,Interceptions per 90,29,Defense
J. Ibarra,Shots blocked per 90,27,Defense
J. Ibarra,Fouls per 90,8,Defense
G. León,Passes to final third per 90,61,Buildup
G. León,Progressive passes per 90,62,Buildup
G. León,Lateral passes per 90,76,Positioning
G. León,Long passes per 90,64,Buildup
G. León,Shots per 90,73,Positioning
G. León,Touches in box per 90,36,Chance creation
G. León,Progressive runs per 90,18,Buildup
G. León,Dribbles per 90,26,Chance creation
G. León,Back passes per 90,39,Positioning
G. León,Interceptions per 90,88,Defense
G. León,Shots blocked per 90,5,Defense
G. León,Fouls per 90,42,Defense
J. Reyes,Passes to final third per 90,6,Buildup
J. Reyes,Progressive passes per 90,8,Buildup
J. Reyes,Lateral passes per 90,10,Positioning
J. Reyes,Long passes per 90,3,Buildup
J. Reyes,Shots per 90,24,Positioning
J. Reyes,Touches in box per 90,76,Chance creation
J. Reyes,Progressive runs per 90,94,Buildup
J. Reyes,Dribbles per 90,78,Chance creation
J. Reyes,Back passes per 90,58,Positioning
J. Reyes,Interceptions per 90,24,Defense
J. Reyes,Shots blocked per 90,5,Defense
J. Reyes,Fouls per 90,33,Defense
J. Hernández,Passes to final third per 90,70,Buildup
J. Hernández,Progressive passes per 90,29,Buildup
J. Hernández,Lateral passes per 90,19,Positioning
J. Hernández,Long passes per 90,25,Buildup
J. Hernández,Shots per 90,82,Positioning
J. Hernández,Touches in box per 90,92,Chance creation
J. Hernández,Progressive runs per 90,51,Buildup
J. Hernández,Dribbles per 90,82,Chance creation
J. Hernández,Back passes per 90,9,Positioning
J. Hernández,Interceptions per 90,83,Defense
J. Hernández,Shots blocked per 90,39,Defense
J. Hernández,Fouls per 90,98,Defense
V. Guajardo,Passes to final third per 90,77,Buildup
V. Guajardo,Progressive passes per 90,11,Buildup
V. Guajardo,Lateral passes per 90,41,Positioning
V. Guajardo,Long passes per 90,48,Buildup
V. Guajardo,Shots per 90,77,Positioning
V. Guajardo,Touches in box per 90,12,Chance creation
V. Guajardo,Progressive runs per 90,32,Buildup
V. Guajardo,Dribbles per 90,81,Chance creation
V. Guajardo,Back passes per 90,27,Positioning
V. Guajardo,Interceptions per 90,7,Defense
V. Guajardo,Shots blocked per 90,76,Defense
V. Guajardo,Fouls per 90,67,Defense
R. Suárez,Passes to final third per 90,64,Buildup
R. Suárez,Progressive passes per 90,56,Buildup
R. Suárez,Lateral passes per 90,65,Positioning
R. Suárez,Long passes per 90,68,Buildup
R. Suárez,Shots per 90,63,Positioning
R. Suárez,Touches in box per 90,44,Chance creation
R. Suárez,Progressive runs per 90,57,Buildup
R. Suárez,Dribbles per 90,82,Chance creation
R. Suárez,Back passes per 90,29,Positioning
R. Suárez,Interceptions per 90,18,Defense
R. Suárez,Shots blocked per 90,39,Defense
R. Suárez,Fouls per 90,68,Defense
S. Pérez Bouquet,Passes to final third per 90,36,Buildup
S. Pérez Bouquet,Progressive passes per 90,7,Buildup
S. Pérez Bouquet,Lateral passes per 90,30,Positioning
S. Pérez Bouquet,Long passes per 90,3,Buildup
S. Pérez Bouquet,Shots per 90,49,Positioning
S. Pérez Bouquet,Touches in box per 90,38,Chance creation
S. Pérez Bouquet,Progressive runs per 90,25,Buildup
S. Pérez Bouquet,Dribbles per 90,34,Chance creation
S. Pérez Bouquet,Back passes per 90,17,Positioning
S. Pérez Bouquet,Interceptions per 90,3,Defense
S. Pérez Bouquet,Shots blocked per 90,68,Defense
S. Pérez Bouquet,Fouls per 90,31,Defense
J. Peralta,Passes to final third per 90,51,Buildup
J. Peralta,Progressive passes per 90,71,Buildup
J. Peralta,Lateral passes per 90,22,Positioning
J. Peralta,Long passes per 90,84,Buildup
J. Peralta,Shots per 90,35,Positioning
J. Peralta,Touches in box per 90,55,Chance creation
J. Peralta,Progressive runs per 90,41,Buildup
J. Peralta,Dribbles per 90,56,Chance creation
J. Peralta,Back passes per 90,24,Positioning
J. Peralta,Interceptions per 90,19,Defense
J. Peralta,Shots blocked per 90,39,Defense
J. Peralta,Fouls per 90,48,Defense
J. Celaya,Passes to final third per 90,23,Buildup
J. Celaya,Progressive passes per 90,72,Buildup
J. Celaya,Lateral passes per 90,18,Positioning
J. Celaya,Long passes per 90,58,Buildup
J. Celaya,Shots per 90,5,Positioning
J. Celaya,Touches in box per 90,3,Chance creation
J. Celaya,Progressive runs per 90,24,Buildup
J. Celaya,Dribbles per 90,47,Chance creation
J. Celaya,Back passes per 90,13,Positioning
J. Celaya,Interceptions per 90,94,Defense
J. Celaya,Shots blocked per 90,99,Defense
J. Celaya,Fouls per 90,50,Defense
D. Aguilar,Passes to final third per 90,67,Buildup
D. Aguilar,Progressive passes per 90,99,Buildup
D. Aguilar,Lateral passes per 90,54,Positioning
D. Aguilar,Long passes per 90,90,Buildup
D. Aguilar,Shots per 90,22,Positioning
D. Aguilar,Touches in box per 90,2,Chance creation
D. Aguilar,Progressive runs per 90,42,Buildup
D. Aguilar,Dribbles per 90,35,Chance creation
D. Aguilar,Back passes per 90,15,Positioning
D. Aguilar,Interceptions per 90,96,Defense
D. Aguilar,Shots blocked per 90,70,Defense
D. Aguilar,Fouls per 90,83,Defense
D. Hernández,Passes to final third per 90,22,Buildup
D. Hernández,Progressive passes per 90,7,Buildup
D. Hernández,Lateral passes per 90,15,Positioning
D. Hernández,Long passes per 90,22,Buildup
D. Hernández,Shots per 90,49,Positioning
D. Hernández,Touches in box per 90,3,Chance creation
D. Hernández,Progressive runs per 90,64,Buildup
D. Hernández,Dribbles per 90,64,Chance creation
D. Hernández,Back passes per 90,5,Positioning
D. Hernández,Interceptions per 90,26,Defense
D. Hernández,Shots blocked per 90,55,Defense
D. Hernández,Fouls per 90,71,Defense
M. Galván,Passes to final third per 90,46,Buildup
M. Galván,Progressive passes per 90,11,Buildup
M. Galván,Lateral passes per 90,68,Positioning
M. Galván,Long passes per 90,51,Buildup
M. Galván,Shots per 90,97,Positioning
M. Galván,Touches in box per 90,66,Chance creation
M. Galván,Progressive runs per 90,33,Buildup
M. Galván,Dribbles per 90,84,Chance creation
M. Galván,Back passes per 90,52,Positioning
M. Galván,Interceptions per 90,1,Defense
M. Galván,Shots blocked per 90,5,Defense
M. Galván,Fouls per 90,30,Defense
J. Ochoa,Passes to final third per 90,74,Buildup
J. Ochoa,Progressive passes per 90,37,Buildup
J. Ochoa,Lateral passes per 90,21,Positioning
J. Ochoa,Long passes per 90,14,Buildup
J. Ochoa,Shots per 90,15,Positioning
J. Ochoa,Touches in box per 90,44,Chance creation
J. Ochoa,Progressive runs per 90,53,Buildup
J. Ochoa,Dribbles per 90,66,Chance creation
J. Ochoa,Back passes per 90,25,Positioning
J. Ochoa,Interceptions per 90,45,Defense
J. Ochoa,Shots blocked per 90,80,Defense
J. Ochoa,Fouls per 90,85,Defense
O. Botello,Passes to final third per 90,53,Buildup
O. Botello,Progressive passes per 90,86,Buildup
O. Botello,Lateral passes per 90,39,Positioning
O. Botello,Long passes per 90,81,Buildup
O. Botello,Shots per 90,13,Positioning
O. Botello,Touches in box per 90,1,Chance creation
O. Botello,Progressive runs per 90,40,Buildup
O. Botello,Dribbles per 90,12,Chance creation
O. Botello,Back passes per 90,47,Positioning
O. Botello,Interceptions per 90,79,Defense
O. Botello,Shots blocked per 90,33,Defense
O. Botello,Fouls per 90,76,Defense
F. Escalante,Passes to final third per 90,43,Buildup
F. Escalante,Progressive passes per 90,55,Buildup
F. Escalante,Lateral passes per 90,5,Positioning
F. Escalante,Long passes per 90,54,Buildup
F. Escalante,Shots per 90,4,Positioning
F. Escalante,Touches in box per 90,16,Chance creation
F. Escalante,Progressive runs per 90,33,Buildup
F. Escalante,Dribbles per 90,60,Chance creation
F. Escalante,Back passes per 90,7,Positioning
F. Escalante,Interceptions per 90,52,Defense
F. Escalante,Shots blocked per 90,5,Defense
F. Escalante,Fouls per 90,86,Defense
O. De La Cruz,Passes to final third per 90,74,Buildup
O. De La Cruz,Progressive passes per 90,98,Buildup
O. De La Cruz,Lateral passes per 90,34,Positioning
O. De La Cruz,Long passes per 90,89,Buildup
O. De La Cruz,Shots per 90,1,Positioning
O. De La Cruz,Touches in box per 90,2,Chance creation
O. De La Cruz,Progressive runs per 90,84,Buildup
O. De La Cruz,Dribbles per 90,56,Chance creation
O. De La Cruz,Back passes per 90,2,Positioning
O. De La Cruz,Interceptions per 90,79,Defense
O. De La Cruz,Shots blocked per 90,46,Defense
O. De La Cruz,Fouls per 90,9,Defense
J. Brigido,Passes to final third per 90,57,Buildup
J. Brigido,Progressive passes per 90,45,Buildup
J. Brigido,Lateral passes per 90,36,Positioning
J. Brigido,Long passes per 90,57,Buildup
J. Brigido,Shots per 90,52,Positioning
J. Brigido,Touches in box per 90,45,Chance creation
J. Brigido,Progressive runs per 90,86,Buildup
J. Brigido,Dribbles per 90,72,Chance creation
J. Brigido,Back passes per 90,5,Positioning
J. Brigido,Interceptions per 90,27,Defense
J. Brigido,Shots blocked per 90,23,Defense
J. Brigido,Fouls per 90,53,Defense
J. Gurrola,Passes to final third per 90,26,Buildup
J. Gurrola,Progressive passes per 90,79,Buildup
J. Gurrola,Lateral passes per 90,33,Positioning
J. Gurrola,Long passes per 90,51,Buildup
J. Gurrola,Shots per 90,31,Positioning
J. Gurrola,Touches in box per 90,49,Chance creation
J. Gurrola,Progressive runs per 90,27,Buildup
J. Gurrola,Dribbles per 90,34,Chance creation
J. Gurrola,Back passes per 90,9,Positioning
J. Gurrola,Interceptions per 90,75,Defense
J. Gurrola,Shots blocked per 90,5,Defense
J. Gurrola,Fouls per 90,43,Defense
V. López,Passes to final third per 90,26,Buildup
V. López,Progressive passes per 90,41,Buildup
V. López,Lateral passes per 90,43,Positioning
V. López,Long passes per 90,40,Buildup
V. López,Shots per 90,89,Positioning
V. López,Touches in box per 90,32,Chance creation
V. López,Progressive runs per 90,92,Buildup
V. López,Dribbles per 90,92,Chance creation
V. López,Back passes per 90,29,Positioning
V. López,Interceptions per 90,24,Defense
V. López,Shots blocked per 90,23,Defense
V. López,Fouls per 90,22,Defense
J. Martínez,Passes to final third per 90,63,Buildup
J. Martínez,Progressive passes per 90,50,Buildup
J. Martínez,Lateral passes per 90,37,Positioning
J. Martínez,Long passes per 90,69,Buildup
J. Martínez,Shots per 90,64,Positioning
J. Martínez,Touches in box per 90,20,Chance creation
J. Martínez,Progressive runs per 90,13,Buildup
J. Martínez,Dribbles per 90,17,Chance creation
J. Martínez,Back passes per 90,7,Positioning
J. Martínez,Interceptions per 90,49,Defense
J. Martínez,Shots blocked per 90,20,Defense
J. Martínez,Fouls per 90,35,Defense
Aldo Serna,Passes to final third per 90,50,Buildup
Aldo Serna,Progressive passes per 90,27,Buildup
Aldo Serna,Lateral passes per 90,39,Positioning
Aldo Serna,Long passes per 90,78,Buildup
Aldo Serna,Shots per 90,76,Positioning
Aldo Serna,Touches in box per 90,10,Chance creation
Aldo Serna,Progressive runs per 90,60,Buildup
Aldo Serna,Dribbles per 90,85,Chance creation
Aldo Serna,Back passes per 90,31,Positioning
Aldo Serna,Interceptions per 90,13,Defense
Aldo Serna,Shots blocked per 90,5,Defense
Aldo Serna,Fouls per 90,67,Defense
H. Vázquez,Passes to final third per 90,46,Buildup
H. Vázquez,Progressive passes per 90,95,Buildup
H. Vázquez,Lateral passes per 90,9,Positioning
H. Vázquez,Long passes per 90,81,Buildup
H. Vázquez,Shots per 90,5,Positioning
H. Vázquez,Touches in box per 90,5,Chance creation
H. Vázquez,Progressive runs per 90,95,Buildup
H. Vázquez,Dribbles per 90,59,Chance creation
H. Vázquez,Back passes per 90,13,Positioning
H. Vázquez,Interceptions per 90,100,Defense
H. Vázquez,Shots blocked per 90,80,Defense
H. Vázquez,Fouls per 90,80,Defense
F. Valverde,Passes to final third per 90,98,Buildup
F. Valverde,Progressive passes per 90,88,Buildup
F. Valverde,Lateral passes per 90,97,Positioning
F. Valverde,Long passes per 90,86,Buildup
F. Valverde,Shots per 90,48,Positioning
F. Valverde,Touches in box per 90,45,Chance creation
F. Valverde,Progressive runs per 90,83,Buildup
F. Valverde,Dribbles per 90,27,Chance creation
F. Valverde,Back passes per 90,36,Positioning
F. Valverde,Interceptions per 90,71,Defense
F. Valverde,Shots blocked per 90,33,Defense
F. Valverde,Fouls per 90,21,Defense
Pedri,Passes to final third per 90,86,Buildup
Pedri,Progressive passes per 90,70,Buildup
Pedri,Lateral passes per 90,100,Positioning
Pedri,Long passes per 90,67,Buildup
Pedri,Shots per 90,16,Positioning
Pedri,Touches in box per 90,70,Chance creation
Pedri,Progressive runs per 90,49,Buildup
Pedri,Dribbles per 90,13,Chance creation
Pedri,Back passes per 90,98,Positioning
Pedri,Interceptions per 90,93,Defense
Pedri,Shots blocked per 90,5,Defense
Pedri,Fouls per 90,16,Defense
João Félix,Passes to final third per 90,80,Buildup
João Félix,Progressive passes per 90,51,Buildup
João Félix,Lateral passes per 90,27,Positioning
João Félix,Long passes per 90,42,Buildup
João Félix,Shots per 90,78,Positioning
João Félix,Touches in box per 90,65,Chance creation
João Félix,Progressive runs per 90,62,Buildup
João Félix,Dribbles per 90,85,Chance creation
João Félix,Back passes per 90,65,Positioning
João Félix,Interceptions per 90,1,Defense
João Félix,Shots blocked per 90,6,Defense
João Félix,Fouls per 90,37,Defense
Mikel Oyarzabal,Passes to final third per 90,6,Buildup
Mikel Oyarzabal,Progressive passes per 90,14,Buildup
Mikel Oyarzabal,Lateral passes per 90,20,Positioning
Mikel Oyarzabal,Long passes per 90,18,Buildup
Mikel Oyarzabal,Shots per 90,82,Positioning
Mikel Oyarzabal,Touches in box per 90,87,Chance creation
Mikel Oyarzabal,Progressive runs per 90,44,Buildup
Mikel Oyarzabal,Dribbles per 90,37,Chance creation
Mikel Oyarzabal,Back passes per 90,71,Positioning
Mikel Oyarzabal,Interceptions per 90,65,Defense
Mikel Oyarzabal,Shots blocked per 90,90,Defense
Mikel Oyarzabal,Fouls per 90,31,Defense
K. Benzema,Passes to final third per 90,14,Buildup
K. Benzema,Progressive passes per 90,5,Buildup
K. Benzema,Lateral passes per 90,47,Positioning
K. Benzema,Long passes per 90,10,Buildup
K. Benzema,Shots per 90,100,Positioning
K. Benzema,Touches in box per 90,100,Chance creation
K. Benzema,Progressive runs per 90,76,Buildup
K. Benzema,Dribbles per 90,55,Chance creation
K. Benzema,Back passes per 90,84,Positioning
K. Benzema,Interceptions per 90,11,Defense
K. Benzema,Shots blocked per 90,64,Defense
K. Benzema,Fouls per 90,9,Defense
Marcos Llorente,Passes to final third per 90,47,Buildup
Marcos Llorente,Progressive passes per 90,57,Buildup
Marcos Llorente,Lateral passes per 90,78,Positioning
Marcos Llorente,Long passes per 90,58,Buildup
Marcos Llorente,Shots per 90,43,Positioning
Marcos Llorente,Touches in box per 90,81,Chance creation
Marcos Llorente,Progressive runs per 90,37,Buildup
Marcos Llorente,Dribbles per 90,49,Chance creation
Marcos Llorente,Back passes per 90,61,Positioning
Marcos Llorente,Interceptions per 90,71,Defense
Marcos Llorente,Shots blocked per 90,80,Defense
Marcos Llorente,Fouls per 90,90,Defense
Á. Correa,Passes to final third per 90,16,Buildup
Á. Correa,Progressive passes per 90,8,Buildup
Á. Correa,Lateral passes per 90,10,Positioning
Á. Correa,Long passes per 90,19,Buildup
Á. Correa,Shots per 90,69,Positioning
Á. Correa,Touches in box per 90,99,Chance creation
Á. Correa,Progressive runs per 90,9,Buildup
Á. Correa,Dribbles per 90,80,Chance creation
Á. Correa,Back passes per 90,72,Positioning
Á. Correa,Interceptions per 90,37,Defense
Á. Correa,Shots blocked per 90,61,Defense
Á. Correa,Fouls per 90,79,Defense
N. Fekir,Passes to final third per 90,73,Buildup
N. Fekir,Progressive passes per 90,49,Buildup
N. Fekir,Lateral passes per 90,70,Positioning
N. Fekir,Long passes per 90,34,Buildup
N. Fekir,Shots per 90,97,Positioning
N. Fekir,Touches in box per 90,90,Chance creation
N. Fekir,Progressive runs per 90,81,Buildup
N. Fekir,Dribbles per 90,97,Chance creation
N. Fekir,Back passes per 90,61,Positioning
N. Fekir,Interceptions per 90,6,Defense
N. Fekir,Shots blocked per 90,20,Defense
N. Fekir,Fouls per 90,100,Defense
A. Griezmann,Passes to final third per 90,17,Buildup
A. Griezmann,Progressive passes per 90,11,Buildup
A. Griezmann,Lateral passes per 90,89,Positioning
